,Unnamed: 0,no,id,created,created_time,updated,updated_time,content,voteup_count,comment_count,question,author
10,10,10,14802892,2012-07-07 09:34:41,1341624881,2012-07-07 09:35:14,1341624914,"补充一下@陳浩 的回答：按照中国的《城市生活垃圾分类及其评价标准》，使用过的纸巾不是可回收垃圾。

标准把城市垃圾分为六类：






使用的过的纸巾尤其是有鼻涕的显然不符合”可回收物“中对纸类的要求”未严重玷污的文字用纸、包装用纸和其他纸制品“，更符合”可燃垃圾“中”不适宜回收的废纸类“的这一分类。

但实际上，不管扔到可回收垃圾筒和是不可回收垃圾桶，大多数国内城市的那两个筒里的垃圾都是被垃圾车装在一起的，你扔没扔对根本无关紧要。而且实际操作中，废纸和大部分其他垃圾一样，最后基本都是拿去填埋的。",70,2,"{'type': 'question', 'id': 20335571, 'title': '使用过的纸巾，应该扔到可回收垃圾桶还是不可回收垃圾桶？', 'question_type': 'normal', 'created': 1341590598, 'updated_time': 1341592029, 'url': 'https://www.zhihu.com/question/20335571', 'relationship': {}}","{'id': '632ae0df2ca091dee45a36fb9310b9c0', 'url_token': 'forrest', 'name': '甘震', 'avatar_url': 'https://pic3.zhimg.com/0ac765870f43743cefa40385fbbc451e_is.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/0ac765870f43743cefa40385fbbc451e_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/forrest', 'user_type': 'people', 'headline': '最佳路人甲', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
30,30,17,620210136,2019-03-11 23:47:26,1552319246,2019-03-11 23:47:26,1552319246,"
三个方面。我认为最重要的就是思想问题，如何使大家养成一个一个垃圾分类的习惯。还有一个就是普及问题，垃圾分类，该如何分类，如何鉴别垃圾种类从而分到各个垃圾箱内，最后就是在处理垃圾的时候也要进行分类，不能统一收集到一个垃圾车中，第一第二点最难做，如果前两个解决，垃圾分类不是问题(上海已经在做试点)
",0,0,"{'type': 'question', 'id': 20924530, 'title': '在中国实现垃圾分类还需要解决哪些问题？大约什么时候可以实行？', 'question_type': 'normal', 'created': 1365323503, 'updated_time': 1552356241, 'url': 'https://www.zhihu.com/question/20924530', 'relationship': {}}","{'id': 'a0d4fc55b032b5b48ed45ba33ea2497f', 'url_token': 'love-me-69', 'name': 'l伯伦', 'avatar_url': 'https://pic1.zhimg.com/v2-a7c1d273290c88c11e83243c7a36cb5c_is.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/v2-a7c1d273290c88c11e83243c7a36cb5c_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/love-me-69', 'user_type': 'people', 'headline': '我', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}"
46,46,13,186298247,2017-06-20 08:47:03,1497919623,2017-06-20 09:25:10,1497921910,"

现阶段简化垃圾分类才是关键！现阶段简化垃圾分类才是关键！现阶段简化垃圾分类才是关键！

扔垃圾这个行为，在人的意识里面，其实是一个占用时间很少的动作，一般扔个垃圾进垃圾桶的口，就算完成扔垃圾这个动作了，可是，如果你说：请各位把垃圾分出可回收、不可回收、餐余垃圾和有害垃圾，再进行投放！对于人们来讲时间太长了，人们人容易会产生嫌麻烦的心理而直接跳过分类，直接乱扔！
我觉得现行的垃圾分类看似简单，但其实分类时间过长，要养成人们习惯性的对垃圾分类，应该从低难度开始！比如:

纸类垃圾、金属垃圾、塑料垃圾和餐余垃圾（可加上2个小箱：烟头和有害垃圾（最好也写出什么是有害垃圾，比如电池什么的））

这样分类会非常简单，见字知义！难听点是
傻瓜都会分类…
我看来这是最容易实行垃圾分类的折中方案了！

另一点
，政府在配合的行动方面有一点非常重要！就是，
要在垃圾车上用大大的字体写着本车所运输的垃圾类型！
非常重要，要让市民知道：
老子辛辛苦苦分好类的垃圾确实是被分类运走的！
让人们有垃圾分类的后续完成感，才能更加促进人们垃圾分类！
综上所述2个措施:

1、降低垃圾分类难度（降低参与门槛）
2、增加参与垃圾分类完成感


拙见
",1,0,"{'type': 'question', 'id': 20924530, 'title': '在中国实现垃圾分类还需要解决哪些问题？大约什么时候可以实行？', 'question_type': 'normal', 'created': 1365323503, 'updated_time': 1552356241, 'url': 'https://www.zhihu.com/question/20924530', 'relationship': {}}","{'id': '3382eb9c0eb064e991e4acfc53633fcf', 'url_token': 'lin-tian-hao-46', 'name': 'trumplam', 'avatar_url': 'https://pic3.zhimg.com/4e03b26f8_is.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/4e03b26f8_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/lin-tian-hao-46', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
50,50,17,183980848,2017-06-15 08:10:41,1497485441,2017-06-15 08:10:41,1497485441,"
首先你要知道做的这个事情到底有没有必要。

我从经济学角度分析一下啊。经济学理论中有一个非常常见的理论就是社会会把利益最大化。也就是说你一直想到的没有垃圾分类所造成的损失，其实可能并没有损失，那怎么没有损失的呢？

中国有一个职业叫做捡破烂儿的（也能叫拾荒者），之前有个统计说，中国的垃圾桶，平均每10分钟就会被翻一遍，中国的垃圾处理站的待处理垃圾存放处，也会有大批的拾荒者，他们做的是什么呢？就是垃圾分类啊。而且他们因为利益驱使，分类要比你细的多，你永远不要自大到挑战别人赖以生存的技能。

第二个，这就是社会分工，如果中国像日本一样开始进行垃圾分类就会造成大量的时间成本，你能想到一个年薪几十万的社会精英，每天回到家还得花费20分钟做垃圾分类吗（日本的平均时间是10分钟，但是人家的熟练程度比咱们……），亚当斯密《国富论》的一开头说的就是社会分工啊。

第三个，你要想一下成本问题，垃圾你分类了，那就意味着回收的时候运输也要分类对吧，那么你就得增加至少一倍的垃圾车（每天回收两类垃圾）。那么，你就要算交通压力还有能源消耗你受的了吗。

第四个，一旦有一个人不按照精准的垃圾分类，这一车垃圾，就是还得再次分类，那何必呢？

最后很多人说，垃圾分类是培养一个人的品质，我就觉得有点扯淡了，真的。
",3,2,"{'type': 'question', 'id': 20924530, 'title': '在中国实现垃圾分类还需要解决哪些问题？大约什么时候可以实行？', 'question_type': 'normal', 'created': 1365323503, 'updated_time': 1552356241, 'url': 'https://www.zhihu.com/question/20924530', 'relationship': {}}","{'id': '2a8a36cf7bbb74166ddaa63535bacc31', 'url_token': 'libo926', 'name': '李博', 'avatar_url': 'https://pic2.zhimg.com/v2-49b09f91e1f81ce04af7d72c05e21e82_is.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/v2-49b09f91e1f81ce04af7d72c05e21e82_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/libo926', 'user_type': 'people', 'headline': '咨询顾问，公众号：liborenli', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
51,51,18,183968108,2017-06-15 06:54:03,1497480843,2017-06-15 06:54:03,1497480843,不管你分不分类，统统在垃圾车上混合后往垃圾填埋场。垃圾填埋场几百个拾荒者衣衫褴褛，进行的才是真正的分类。一辆垃圾车一卸载一群人围过来抢着有用的垃圾卖钱。那种味道正常人几分钟就受不了了。想象各个末日的电影的桥段吧，到了垃圾填埋场你就会看到现实有过之而无不及。讲个笑话，十几年前听过的。某研究机构曾花费6000万巨资购买德国垃圾自动分拣设备，结果水土不服，开机没几次就报废了。所以现阶段谈垃圾分类真是一点意义都没有。,0,1,"{'type': 'question', 'id': 20924530, 'title': '在中国实现垃圾分类还需要解决哪些问题？大约什么时候可以实行？', 'question_type': 'normal', 'created': 1365323503, 'updated_time': 1552356241, 'url': 'https://www.zhihu.com/question/20924530', 'relationship': {}}","{'id': '1c7deadfd320a9841ac26ba9d1715f74', 'url_token': 'phyliy-zhao', 'name': 'phyliy zhao', 'avatar_url': 'https://pic3.zhimg.com/3d19afd64_is.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/3d19afd64_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/phyliy-zhao', 'user_type': 'people', 'headline': '无节操，无敌哭', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
53,53,0,183873700,2017-06-14 22:49:49,1497451789,2017-06-14 22:49:49,1497451789,我之前看了一篇报道也是关于这个问题的讨论  我现在叙述一下  文章不是从道德层面、公民自觉还有有关部门推动讨论的 而是从成本问题 实际上中国是世界上垃圾处理问题现状最好的国家 这是不是很奇怪 你会问不是日本么？ 我想告诉你日本的垃圾分类多达十几种 而且每户居民每天要花十分钟时间分类垃圾 日本垃圾分类车每天固定时间不同种类的垃圾从居民门口挨家挨户收垃圾 如果今天有事你只能放在家里等在下次  垃圾处理公司成本也会相应提高 因为要雇佣十几辆分类垃圾车和工人固定收取 这种方式既浪费扔垃圾的人时间 垃圾处理公司反而增加了成本 而中国看似垃圾处理问题解决的不好 但中国有个现象就是有相当规模的拾荒者 他们是垃圾处理的专业人士  他们会及时从垃圾中分类出各种能回收品  而且他们以此为职业创造收入 无需政府推动补贴  这就是有些问题需要更深入的从各个方面考虑 所以有些大层面的问题处理的时候要慎重  ,0,0,"{'type': 'question', 'id': 20924530, 'title': '在中国实现垃圾分类还需要解决哪些问题？大约什么时候可以实行？', 'question_type': 'normal', 'created': 1365323503, 'updated_time': 1552356241, 'url': 'https://www.zhihu.com/question/20924530', 'relationship': {}}","{'id': 'fb2b54b32c0adfe54b32c189cc00284a', 'url_token': 'wang-xian-sheng-42-74-93', 'name': '王嘉诚', 'avatar_url': 'https://pic3.zhimg.com/v2-b4b1b76af2124768c0e33e040fd53dca_is.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/v2-b4b1b76af2124768c0e33e040fd53dca_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/wang-xian-sheng-42-74-93', 'user_type': 'people', 'headline': '工程师', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
55,55,2,183843816,2017-06-14 21:41:44,1497447704,2017-06-14 21:41:44,1497447704,有什么用呢，中国那么多街头垃圾分类垃圾桶，一方面是人不能做到分到位，扔对，另一方面，即使是分类垃圾桶，到最后还是被倒入同一个垃圾车，或者人为的用手分，效率低，同时浪费时间。,0,0,"{'type': 'question', 'id': 20924530, 'title': '在中国实现垃圾分类还需要解决哪些问题？大约什么时候可以实行？', 'question_type': 'normal', 'created': 1365323503, 'updated_time': 1552356241, 'url': 'https://www.zhihu.com/question/20924530', 'relationship': {}}","{'id': '101480c57a11d0f73341f55ee4201249', 'url_token': 'san-san-17-9', 'name': '伞伞', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/san-san-17-9', 'user_type': 'people', 'headline': '医生', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}"
103,103,10,44747825,2015-04-14 12:15:42,1428984942,2015-04-14 12:15:42,1428984942,我把垃圾分类装好，放入不同的垃圾箱，后来来了一个垃圾车，把所有垃圾扔在了一起运走了。,0,1,"{'type': 'question', 'id': 20924530, 'title': '在中国实现垃圾分类还需要解决哪些问题？大约什么时候可以实行？', 'question_type': 'normal', 'created': 1365323503, 'updated_time': 1552356241, 'url': 'https://www.zhihu.com/question/20924530', 'relationship': {}}","{'id': '0fee1d2297bdba94a01ee925b2ad3456', 'url_token': 'luo-xiao-rui-65', 'name': '三秋', 'avatar_url': 'https://pic4.zhimg.com/3afa22bca7a015ec123c24a14b37f95f_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/3afa22bca7a015ec123c24a14b37f95f_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/luo-xiao-rui-65', 'user_type': 'people', 'headline': '看了这么多的知乎，依然过不好这一生', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}"
120,120,7,16623907,2013-04-07 21:53:45,1365342825,2013-04-07 21:53:45,1365342825,"虽有&#39;可回收&#39;和&#39;不可回收&#39;两个并列垃圾箱，但收垃圾时候是无差别的倒入同个垃圾车。
看到这个，我就觉得我如果坚持分类就太&#39;二&#39;了。",4,3,"{'type': 'question', 'id': 20924530, 'title': '在中国实现垃圾分类还需要解决哪些问题？大约什么时候可以实行？', 'question_type': 'normal', 'created': 1365323503, 'updated_time': 1552356241, 'url': 'https://www.zhihu.com/question/20924530', 'relationship': {}}","{'id': '3c6d1c549e7b7def9ccc01a0ec16c65d', 'url_token': 'jieshao', 'name': '小刀闲游', 'avatar_url': 'https://pic3.zhimg.com/a64c8d7de_is.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/a64c8d7de_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/jieshao', 'user_type': 'people', 'headline': '懒得说，拉黑了事。', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': True}"
130,130,3,603521116,2019-02-20 14:19:50,1550643590,2019-02-20 14:19:50,1550643590,"

没有实际工业意义



仅仅具有教育启蒙意义





你小老百姓在这里分垃圾分半天，

分别丢到2个垃圾桶里




然后




然后晚上只来了1辆垃圾车

呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵

哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈








1、有谁见过能分别装可回收垃圾、不可回收垃圾的清运车么？



醉了



麻烦当权的，多搞几个垃圾分拣设备，



少一天整没用的。拿着市民折腾。












2、作为一个现在从事环保工程的人



在我眼里，所有垃圾都是可回收再生的。



我本人偶尔丢个垃圾，我就在想，我丢的东西真是没法利用的么？



------------万事皆可回收，只是你出多少钱的问题，



果皮纸张可以当肥料，塑料可以发电，金属玻璃可以回用，



随着科技的进步，可工业规模回收的垃圾越来越多。



如果1990年定义的不可回收垃圾分类，你到2019年还在继续沿用，



只能说明环保行业原地踏步。



说到底



还是麻烦当权的，



多拿点钱出来，升级一下垃圾回收产业。





















【最重要的在于，长点脑子】

",35,6,"{'type': 'question', 'id': 22102572, 'title': '「垃圾分类从我做起」有什么实际意义？', 'question_type': 'normal', 'created': 1385259975, 'updated_time': 1425868246, 'url': 'https://www.zhihu.com/question/22102572', 'relationship': {}}","{'id': 'e47899140f5a3a5536718307a73a83ef', 'url_token': 'zhou-yuan-qing-90', 'name': '骑士王的刚毅', 'avatar_url': 'https://pic1.zhimg.com/91b202647338e97607378001ef568aee_is.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/91b202647338e97607378001ef568aee_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/zhou-yuan-qing-90', 'user_type': 'people', 'headline': '热衷于对扛精进行碾压', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}"
