,id,type,url,content,featured,collapsed,is_author,is_delete,created_time,resource_type,reviewing,allow_like,allow_delete,allow_reply,allow_vote,can_recommend,can_collapse,author,is_parent_author,vote_count,voting,disliked
0,99471844,comment,https://www.zhihu.com/api/v4/comments/99471844,嘻嘻，针幽脉,False,False,False,False,1445157647,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': '8df882d2ed0f0ba4bb776b56b3eccb5b', 'url_token': 'eric-ma-35', 'name': 'Eric MA', 'avatar_url': 'https://pic2.zhimg.com/78ff56d3b_r.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/78ff56d3b_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/8df882d2ed0f0ba4bb776b56b3eccb5b', 'user_type': 'people', 'headline': 'EE, but love CS', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,24,False,False
1,99472394,comment,https://www.zhihu.com/api/v4/comments/99472394,哈哈哈哈，好笑（发的时候把括弧内的内容删掉，每天5毛）,False,False,False,False,1445157923,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': '166faf77d48983e138ee989b6c491eef', 'url_token': 'stinbou', 'name': 'stinbou', 'avatar_url': 'https://pic4.zhimg.com/bd1e41d6f4f12f1dcdd41ed11cb7a0da_r.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/bd1e41d6f4f12f1dcdd41ed11cb7a0da_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/166faf77d48983e138ee989b6c491eef', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,35,False,False
2,99472934,comment,https://www.zhihu.com/api/v4/comments/99472934,阿银啊，太耿直一直是你的硬伤,False,False,False,False,1445158155,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': '847e7b1138056131101477f9384d83c5', 'url_token': 'hu-jin-mao', 'name': '芝士拉条子', 'avatar_url': 'https://pic1.zhimg.com/ebf9c72a481a871b2087d73fb278a1e0_r.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/ebf9c72a481a871b2087d73fb278a1e0_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/847e7b1138056131101477f9384d83c5', 'user_type': 'people', 'headline': '跟很多人说“责任心”是件很奢侈的事情', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,20,False,False
3,99473573,comment,https://www.zhihu.com/api/v4/comments/99473573,老子先笑为敬，蛤蛤。,False,False,False,False,1445158488,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': '6f31fa0ec02f6b12f9036ad12d3e415c', 'url_token': 'ai-jiao-zi-53', 'name': 's1mple', 'avatar_url': 'https://pic3.zhimg.com/v2-d07dfd39229b1de16ef57a73a23c37cf_r.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/v2-d07dfd39229b1de16ef57a73a23c37cf_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/6f31fa0ec02f6b12f9036ad12d3e415c', 'user_type': 'people', 'headline': '把美梦放进冰箱 长大了再拿行不行', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,8,False,False
4,99475401,comment,https://www.zhihu.com/api/v4/comments/99475401,哈哈哈哈哈哈哈哈会哈更会哈更会哈更都给我笑！,False,False,False,False,1445159434,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': '5804cdb7bbcda1aef74cad458e54a367', 'url_token': 'xiao-li-hou-zi', 'name': '不欢迎', 'avatar_url': 'https://pic4.zhimg.com/v2-3fb924325dae02d83b475e8b19bc75ff_r.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/v2-3fb924325dae02d83b475e8b19bc75ff_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/5804cdb7bbcda1aef74cad458e54a367', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 0, 'is_advertiser': False}}",False,1,False,False
5,99476719,comment,https://www.zhihu.com/api/v4/comments/99476719,哈哈哈哈,False,False,False,False,1445160135,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': 'a0c7f002d15ee2411c99014c560dc9e4', 'url_token': 'lin-yun-fan-85', 'name': '林允凡', 'avatar_url': 'https://pic1.zhimg.com/06b4d2953_r.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/06b4d2953_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/a0c7f002d15ee2411c99014c560dc9e4', 'user_type': 'people', 'headline': '心机猫', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,0,False,False
6,99478815,comment,https://www.zhihu.com/api/v4/comments/99478815,笑鼠我辣,False,False,False,False,1445161275,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': 'bddf83d9cd9f30e2b01d738ac14ff212', 'url_token': 'chen-xi-23-52', 'name': '陈曦', 'avatar_url': 'https://pic1.zhimg.com/44d397a22_r.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/44d397a22_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/bddf83d9cd9f30e2b01d738ac14ff212', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,0,False,False
7,99480764,comment,https://www.zhihu.com/api/v4/comments/99480764,哈哈哈哈，好笑（发的时候把括弧内的内容删掉，每天5毛）,False,False,False,False,1445162361,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': 'b2b2df80384a76c92a9cdcba7e856f62', 'url_token': 'bu-gou-cheng-shou-40', 'name': '小莫', 'avatar_url': 'https://pic2.zhimg.com/v2-c65711c08864c34a6a3dca52f2491ff0_r.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/v2-c65711c08864c34a6a3dca52f2491ff0_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/b2b2df80384a76c92a9cdcba7e856f62', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,0,False,False
8,99487851,comment,https://www.zhihu.com/api/v4/comments/99487851,能不随地吐痰/大小便（小孩）就不错了,False,False,False,False,1445166125,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': 'fc2c85be60093d1cc774cd8a42ceef99', 'url_token': 'su-yi-24-15', 'name': '粉红杀手爱茉莉', 'avatar_url': 'https://pic1.zhimg.com/v2-cd474f80506d773f4dcc2f5fa2549911_r.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/v2-cd474f80506d773f4dcc2f5fa2549911_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/fc2c85be60093d1cc774cd8a42ceef99', 'user_type': 'people', 'headline': '北京富士康流水线女技术工', 'badge': [], 'gender': 0, 'is_advertiser': False}}",False,7,False,False
9,99488912,comment,https://www.zhihu.com/api/v4/comments/99488912,哈哈哈哈，好笑（发的时候把括弧内的内容删掉，每天5毛）,False,False,False,False,1445166690,answer,False,True,False,True,True,False,False,"{'role': 'normal', 'member': {'id': 'eebdcef77a4831f7b42309e5c2c0a0e2', 'url_token': 'guan-ruo-zhi-nian', 'name': '李坚果', 'avatar_url': 'https://pic3.zhimg.com/v2-c7e0f50193770107f57415fe03d4c19f_r.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/v2-c7e0f50193770107f57415fe03d4c19f_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/api/v4/people/eebdcef77a4831f7b42309e5c2c0a0e2', 'user_type': 'people', 'headline': '谢谢你们的故事。', 'badge': [], 'gender': 1, 'is_advertiser': False}}",False,0,False,False
