,id,type,answer_type,question,author,url,is_collapsed,created_time,updated_time,extras,is_copyable,is_normal,voteup_count,comment_count,is_sticky,comment_permission,reshipment_settings,content,collapsed_by,mark_infos,suggest_edit,relationship
0,775436191,answer,normal,"{'type': 'question', 'id': 332909162, 'title': '如果拿垃圾分类规则来做一款单机游戏或网络游戏，会做出怎样的游戏？', 'question_type': 'normal', 'created': 1562059094, 'updated_time': 1562060211, 'url': 'https://www.zhihu.com/question/332909162', 'relationship': {}}","{'id': 'c3b1ee50d329663842ff1089c5fec59f', 'url_token': 'yi-ban-92-59', 'name': '一半', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/yi-ban-92-59', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}",https://www.zhihu.com/question/332909162/answer/775436191,False,1564962654,1564962654,,True,True,0,0,False,all,allowed,<p>当然是音游了</p>,nobody,[],"{'reason': '', 'status': False, 'tip': '', 'title': '', 'unnormal_details': {'status': '', 'description': '', 'reason': '', 'reason_id': 0, 'note': ''}, 'url': ''}",{'upvoted_followees': []}
1,768676113,answer,normal,"{'type': 'question', 'id': 332909162, 'title': '如果拿垃圾分类规则来做一款单机游戏或网络游戏，会做出怎样的游戏？', 'question_type': 'normal', 'created': 1562059094, 'updated_time': 1562060211, 'url': 'https://www.zhihu.com/question/332909162', 'relationship': {}}","{'id': '46b121986b19af7668b4c79af2cd63f6', 'url_token': 'ke-ai-xiao-kai-qi', 'name': '哔哩吧啦哔哩吧啦', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/ke-ai-xiao-kai-qi', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}",https://www.zhihu.com/question/332909162/answer/768676113,False,1564491142,1564491142,,True,True,0,0,False,all,allowed,"<p></p><figure data-size=""normal""><noscript><img src=""https://pic4.zhimg.com/50/v2-ace726be16ca7ef0a8210d7159fc5155_hd.jpg"" data-rawwidth=""1080"" data-rawheight=""2280"" data-size=""normal"" data-default-watermark-src=""https://pic4.zhimg.com/50/v2-e14e1a8ac814587168616850b9254125_hd.jpg"" class=""origin_image zh-lightbox-thumb"" width=""1080"" data-original=""https://pic4.zhimg.com/v2-ace726be16ca7ef0a8210d7159fc5155_r.jpg""/></noscript><img src=""data:image/svg+xml;utf8,&lt;svg xmlns=&#39;http://www.w3.org/2000/svg&#39; width=&#39;1080&#39; height=&#39;2280&#39;&gt;&lt;/svg&gt;"" data-rawwidth=""1080"" data-rawheight=""2280"" data-size=""normal"" data-default-watermark-src=""https://pic4.zhimg.com/50/v2-e14e1a8ac814587168616850b9254125_hd.jpg"" class=""origin_image zh-lightbox-thumb lazy"" width=""1080"" data-original=""https://pic4.zhimg.com/v2-ace726be16ca7ef0a8210d7159fc5155_r.jpg"" data-actualsrc=""https://pic4.zhimg.com/50/v2-ace726be16ca7ef0a8210d7159fc5155_hd.jpg""/></figure><p>这让我想起了以前的一个叫鸡你太美的游戏，讲真这种游戏除非本身确实实力足够强大，否则这个梗冷下来之后基本就没人玩了</p>",nobody,[],"{'reason': '', 'status': False, 'tip': '', 'title': '', 'unnormal_details': {'status': '', 'description': '', 'reason': '', 'reason_id': 0, 'note': ''}, 'url': ''}",{'upvoted_followees': []}
2,764144594,answer,normal,"{'type': 'question', 'id': 332909162, 'title': '如果拿垃圾分类规则来做一款单机游戏或网络游戏，会做出怎样的游戏？', 'question_type': 'normal', 'created': 1562059094, 'updated_time': 1562060211, 'url': 'https://www.zhihu.com/question/332909162', 'relationship': {}}","{'id': '6d800f1153c4a41695da1e1f901c9dff', 'url_token': 'frost-53-15', 'name': 'frost', 'avatar_url': 'https://pic2.zhimg.com/v2-7976ae59970afa74abb77d8274b5582a_is.jpg', 'avatar_url_template': 'https://pic2.zhimg.com/v2-7976ae59970afa74abb77d8274b5582a_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/frost-53-15', 'user_type': 'people', 'headline': '知白守黑', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}",https://www.zhihu.com/question/332909162/answer/764144594,False,1564196639,1564196639,,True,True,0,0,False,all,allowed,<p>辐射·垃圾上海</p><p>捡来的垃圾不能一股脑放在工房了，需要分别放在工房的四个垃圾桶里才能用</p>,nobody,[],"{'reason': '', 'status': False, 'tip': '', 'title': '', 'unnormal_details': {'status': '', 'description': '', 'reason': '', 'reason_id': 0, 'note': ''}, 'url': ''}",{'upvoted_followees': []}
3,746048918,answer,normal,"{'type': 'question', 'id': 332909162, 'title': '如果拿垃圾分类规则来做一款单机游戏或网络游戏，会做出怎样的游戏？', 'question_type': 'normal', 'created': 1562059094, 'updated_time': 1562060211, 'url': 'https://www.zhihu.com/question/332909162', 'relationship': {}}","{'id': '2bf8d25d6f62424d41b886f2cf891df9', 'url_token': 'yjw-79-97', 'name': '「已注销」', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/yjw-79-97', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 0, 'is_advertiser': False, 'is_privacy': False}",https://www.zhihu.com/question/332909162/answer/746048918,False,1562904328,1562906446,,True,True,0,0,False,all,allowed,"<p>你是什么垃圾 英文名what&#39;s your garbage，又名 请出示垃圾，大妈模拟器</p><p>模拟经营类</p><p class=""ztext-empty-paragraph""><br/></p><p>一名外地大妈(主角)因居委会研究决定成为居委会工作人员，负责垃圾分类工作。玩家需要对npc的垃圾进行检查，并决定接受这一垃圾，或要求其重新分类，或要求其在正确的时间扔垃圾。每天的报纸都会给当天的拉圾分类工作带来新的要求，同时玩家也需要根据面前垃圾桶的颜色来判断要接受什么样的垃圾。玩家的选择会影响剧情的走向，如果玩家失误过多，小区会因被拒绝运输垃圾而陷入混乱。</p><p class=""ztext-empty-paragraph""><br/></p><p>本游戏借鉴自著名独立游戏“卫生纸谢谢”(划掉)</p><p>本游戏是著名独立游戏“请出示证件”的换皮游戏。</p><p class=""ztext-empty-paragraph""><br/></p><p>本游戏主题曲是由著名相声表演艺术家李德宏老师倾情主唱的“what&#39;s your garbage”，歌词如下</p><p>what&#39;s your garbage what&#39;s your garbage what&#39;s your garbage ……</p><p>大家看到在垃圾分类的道路上还是会有garbage乱扔</p><p>是这样的一个最后的garbage</p><p>what&#39;s your garbage 乱扔的garbage 大家的garbage各种乱扔 </p><p>最后的garbage不要乱扔</p><p>what&#39;s your garbage garbage garbage</p><p>what&#39;s your garbage</p><p>I am no garbage</p><p class=""ztext-empty-paragraph""><br/></p><p><a href=""https://link.zhihu.com/?target=https%3A//m.bilibili.com/video/av57687534.html"" class="" external"" target=""_blank"" rel=""nofollow noreferrer""><span class=""invisible"">https://</span><span class=""visible"">m.bilibili.com/video/av</span><span class=""invisible"">57687534.html</span><span class=""ellipsis""></span></a></p>",nobody,[],"{'reason': '', 'status': False, 'tip': '', 'title': '', 'unnormal_details': {'status': '', 'description': '', 'reason': '', 'reason_id': 0, 'note': ''}, 'url': ''}",{'upvoted_followees': []}
4,745739900,answer,normal,"{'type': 'question', 'id': 332909162, 'title': '如果拿垃圾分类规则来做一款单机游戏或网络游戏，会做出怎样的游戏？', 'question_type': 'normal', 'created': 1562059094, 'updated_time': 1562060211, 'url': 'https://www.zhihu.com/question/332909162', 'relationship': {}}","{'id': 'eca40d79a90e9d7479ca4601544213d6', 'url_token': 'painkiller-38', 'name': 'PainSaver', 'avatar_url': 'https://pic3.zhimg.com/v2-f4bbc7403bf8c315ee12c448ff037dca_is.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/v2-f4bbc7403bf8c315ee12c448ff037dca_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/painkiller-38', 'user_type': 'people', 'headline': '人畜无害', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}",https://www.zhihu.com/question/332909162/answer/745739900,False,1562887503,1562887503,,True,True,0,0,False,all,allowed,<p>我只想问，拿到版号没？拿得到版号不？</p>,nobody,[],"{'reason': '', 'status': False, 'tip': '', 'title': '', 'unnormal_details': {'status': '', 'description': '', 'reason': '', 'reason_id': 0, 'note': ''}, 'url': ''}",{'upvoted_followees': []}
5,744472093,answer,normal,"{'type': 'question', 'id': 332909162, 'title': '如果拿垃圾分类规则来做一款单机游戏或网络游戏，会做出怎样的游戏？', 'question_type': 'normal', 'created': 1562059094, 'updated_time': 1562060211, 'url': 'https://www.zhihu.com/question/332909162', 'relationship': {}}","{'id': 'aff38833173dbfc2620e3b145308ba22', 'url_token': 'chenchenli', 'name': '李树琛', 'avatar_url': 'https://pic3.zhimg.com/v2-e5a584e610986984663142032ccefc99_is.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/v2-e5a584e610986984663142032ccefc99_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/chenchenli', 'user_type': 'people', 'headline': '此刻就是最好！', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': True}",https://www.zhihu.com/question/332909162/answer/744472093,False,1562776229,1562776229,,True,True,6,2,False,all,allowed,做galgame啊 内置硬核垃圾分类小游戏 分类的结果影响游戏剧情分支<br/><br/>引子就可以是班里的某女生这几天都没有上学，作为她的青梅竹马，男主决定去探望一下她，结果发现青梅竹马因为不会垃圾分类不愿意出门，需要男主帮助她分类成功才会和你一起上学。<br/><br/>后续可以加入从不分类地区转来的转校生，这种事都是给下人做的大小姐学姐，想通过垃圾分类吸引男主的病娇学妹，以及家里蹲的废柴妹妹等等等等女主角......<br/><br/>而男主需要做的事情就是帮她们垃圾分类！<br/><br/>在分类的过程中会发生这样那样的(和谐)福利剧情，从各个女主产生的垃圾也可以看出各个女主的生活习惯(和不能给别人看的隐私，产生更多的福利剧情)。<br/><br/>根据男主的选择和分类的结果，会有不同的结局，也许男主会成为“垃圾分类后宫王”也说不定......？<br/><br/>以上,nobody,[],"{'reason': '', 'status': False, 'tip': '', 'title': '', 'unnormal_details': {'status': '', 'description': '', 'reason': '', 'reason_id': 0, 'note': ''}, 'url': ''}",{'upvoted_followees': []}
6,743196038,answer,normal,"{'type': 'question', 'id': 332909162, 'title': '如果拿垃圾分类规则来做一款单机游戏或网络游戏，会做出怎样的游戏？', 'question_type': 'normal', 'created': 1562059094, 'updated_time': 1562060211, 'url': 'https://www.zhihu.com/question/332909162', 'relationship': {}}","{'id': 'a9d6370dd68715444601ae947fc1d5e7', 'url_token': 'guo-di-45', 'name': '码字', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/guo-di-45', 'user_type': 'people', 'headline': '码农', 'badge': [], 'gender': 1, 'is_advertiser': False, 'is_privacy': False}",https://www.zhihu.com/question/332909162/answer/743196038,False,1562680945,1562680945,,True,True,0,0,False,all,allowed,"<p>以前有个游戏叫“找你妹”</p><figure data-size=""normal""><noscript><img src=""https://pic3.zhimg.com/50/v2-087320cc4f5c545870cfceb88281ac5d_hd.jpg"" data-caption="""" data-size=""normal"" data-rawwidth=""1093"" data-rawheight=""605"" data-default-watermark-src=""https://pic4.zhimg.com/50/v2-d6b443615250dacc566e104be328f93d_hd.jpg"" class=""origin_image zh-lightbox-thumb"" width=""1093"" data-original=""https://pic3.zhimg.com/v2-087320cc4f5c545870cfceb88281ac5d_r.jpg""/></noscript><img src=""data:image/svg+xml;utf8,&lt;svg xmlns=&#39;http://www.w3.org/2000/svg&#39; width=&#39;1093&#39; height=&#39;605&#39;&gt;&lt;/svg&gt;"" data-caption="""" data-size=""normal"" data-rawwidth=""1093"" data-rawheight=""605"" data-default-watermark-src=""https://pic4.zhimg.com/50/v2-d6b443615250dacc566e104be328f93d_hd.jpg"" class=""origin_image zh-lightbox-thumb lazy"" width=""1093"" data-original=""https://pic3.zhimg.com/v2-087320cc4f5c545870cfceb88281ac5d_r.jpg"" data-actualsrc=""https://pic3.zhimg.com/50/v2-087320cc4f5c545870cfceb88281ac5d_hd.jpg""/></figure><p>可以出个垃圾分类版</p>",nobody,[],"{'reason': '', 'status': False, 'tip': '', 'title': '', 'unnormal_details': {'status': '', 'description': '', 'reason': '', 'reason_id': 0, 'note': ''}, 'url': ''}",{'upvoted_followees': []}
7,739679159,answer,normal,"{'type': 'question', 'id': 332909162, 'title': '如果拿垃圾分类规则来做一款单机游戏或网络游戏，会做出怎样的游戏？', 'question_type': 'normal', 'created': 1562059094, 'updated_time': 1562060211, 'url': 'https://www.zhihu.com/question/332909162', 'relationship': {}}","{'id': 'f0c2f2a21cb0d4c57b163145f6da59cd', 'url_token': 'yi-ming-yong-hu-88', 'name': '不合格的韭菜', 'avatar_url': 'https://pic4.zhimg.com/da8e974dc_is.jpg', 'avatar_url_template': 'https://pic4.zhimg.com/da8e974dc_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/yi-ming-yong-hu-88', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': -1, 'is_advertiser': False, 'is_privacy': False}",https://www.zhihu.com/question/332909162/answer/739679159,False,1562410246,1562410246,,True,True,0,0,False,all,allowed,<p>在？做这个游戏财政补贴不少吧？不能自己招个策划什么的吗？</p>,nobody,[],"{'reason': '', 'status': False, 'tip': '', 'title': '', 'unnormal_details': {'status': '', 'description': '', 'reason': '', 'reason_id': 0, 'note': ''}, 'url': ''}",{'upvoted_followees': []}
8,739078577,answer,normal,"{'type': 'question', 'id': 332909162, 'title': '如果拿垃圾分类规则来做一款单机游戏或网络游戏，会做出怎样的游戏？', 'question_type': 'normal', 'created': 1562059094, 'updated_time': 1562060211, 'url': 'https://www.zhihu.com/question/332909162', 'relationship': {}}","{'id': '366591ebb5d60f51ce0a85cbcc105af9', 'url_token': 'you-qu-a-you-jue', 'name': '蝣蛐啊蚰蠼', 'avatar_url': 'https://pic1.zhimg.com/v2-4cfe5312335c89d4630805e4534149aa_is.jpg', 'avatar_url_template': 'https://pic1.zhimg.com/v2-4cfe5312335c89d4630805e4534149aa_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/you-qu-a-you-jue', 'user_type': 'people', 'headline': '程序设计学者，小说爱好作者，？爱好者', 'badge': [], 'gender': 0, 'is_advertiser': False, 'is_privacy': True}",https://www.zhihu.com/question/332909162/answer/739078577,False,1562368362,1562368362,,True,True,3,0,False,all,allowed,<p>《生化危圾》</p><p>数百年来，得益于正确的垃圾分类，这个世界一直维持着正常的运行。</p><p>某一天，一个浣熊市的低素质市民（这个角色后期有戏可挖）再也无法忍受强制垃圾分类的痛苦，遂躲开重重监控，在一个几百千米深的、名为“蜂巢”的地下垃圾场干垃圾区中颤抖着放下了一块小龙虾壳……</p><p>红后意识到这一切时已经晚了，她对蜂巢进行了重重封锁，杀光了里面所有正在“东市扔蛤蜊，西市扔”的素质市民，以及那个低素质市民。无济于事。</p><p>“圾病毒”被带至地上，迅速蔓延。各国政府对名为“垃尸”的衍生物施以重罚，却是杯水车薪。很快，地球生态与人类文明濒临毁灭。</p>,nobody,[],"{'reason': '', 'status': False, 'tip': '', 'title': '', 'unnormal_details': {'status': '', 'description': '', 'reason': '', 'reason_id': 0, 'note': ''}, 'url': ''}",{'upvoted_followees': []}
9,738708433,answer,normal,"{'type': 'question', 'id': 332909162, 'title': '如果拿垃圾分类规则来做一款单机游戏或网络游戏，会做出怎样的游戏？', 'question_type': 'normal', 'created': 1562059094, 'updated_time': 1562060211, 'url': 'https://www.zhihu.com/question/332909162', 'relationship': {}}","{'id': '2294fe9b8205476dc912e054707b9fff', 'url_token': 'mu-mei-zi-31-66', 'name': '慕梅子', 'avatar_url': 'https://pic3.zhimg.com/v2-680202aa2188748459efb2fad1d55658_is.jpg', 'avatar_url_template': 'https://pic3.zhimg.com/v2-680202aa2188748459efb2fad1d55658_{size}.jpg', 'is_org': False, 'type': 'people', 'url': 'https://www.zhihu.com/people/mu-mei-zi-31-66', 'user_type': 'people', 'headline': '', 'badge': [], 'gender': 0, 'is_advertiser': False, 'is_privacy': False}",https://www.zhihu.com/question/332909162/answer/738708433,False,1562324678,1562324678,,True,True,0,0,False,all,allowed,"<p></p><a class=""video-box"" href=""https://link.zhihu.com/?target=https%3A//www.zhihu.com/video/1130552179202875392"" target=""_blank"" data-video-id="""" data-video-playable="""" data-name="""" data-poster=""https://pic4.zhimg.com/v2-e580f236c8a47db814a7575a2f5503eb.jpg"" data-lens-id=""1130552179202875392""><img class=""thumbnail"" src=""https://pic4.zhimg.com/v2-e580f236c8a47db814a7575a2f5503eb.jpg""/><span class=""content""><span class=""title""><span class=""z-ico-extern-gray""></span><span class=""z-ico-extern-blue""></span></span><span class=""url""><span class=""z-ico-video""></span>https://www.zhihu.com/video/1130552179202875392</span></span></a><p>这种小游戏，加上字会好一点</p>",nobody,[],"{'reason': '', 'status': False, 'tip': '', 'title': '', 'unnormal_details': {'status': '', 'description': '', 'reason': '', 'reason_id': 0, 'note': ''}, 'url': ''}",{'upvoted_followees': []}
